BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
259 Køge;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;85
259 Køge;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;39836
260 Halsnæs;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;818
260 Halsnæs;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2646
260 Halsnæs;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;127
260 Halsnæs;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;658
260 Halsnæs;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;38
260 Halsnæs;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;21827
265 Roskilde;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;2948
265 Roskilde;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;8460
265 Roskilde;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;835
265 Roskilde;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;4849
265 Roskilde;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;443
265 Roskilde;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;57411
269 Solrød;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;825
269 Solrød;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;1786
269 Solrød;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;134
269 Solrød;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;768
269 Solrød;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;32
269 Solrød;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;14645
270 Gribskov;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1177
270 Gribskov;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;3914
270 Gribskov;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;257
270 Gribskov;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1322
270 Gribskov;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;83
270 Gribskov;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;28651
306 Odsherred;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;691
306 Odsherred;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2519
306 Odsherred;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;96
306 Odsherred;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;590
306 Odsherred;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;16
306 Odsherred;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;23208
316 Holbæk;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1982
316 Holbæk;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;6657
316 Holbæk;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;283
316 Holbæk;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1836
316 Holbæk;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;89
316 Holbæk;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;48911
320 Faxe;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;996
320 Faxe;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2886
320 Faxe;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;112
320 Faxe;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;697
320 Faxe;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;28
320 Faxe;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;24925
326 Kalundborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1384
