DECILGEN;KOMMUNEDK;TID;INDHOLD
2DC Second decil;751 Aarhus;2013 2013;117928
3DC Third decil;751 Aarhus;2013 2013;148402
4DC Fourth decil;751 Aarhus;2013 2013;173624
5DC Fifth decil;751 Aarhus;2013 2013;201896
6DC Sixth decil;751 Aarhus;2013 2013;231990
7DC Seventh decil;751 Aarhus;2013 2013;263954
8DC Eigth decil;751 Aarhus;2013 2013;301216
9DC Ninth decil;751 Aarhus;2013 2013;353051
10DC Tenth decil;751 Aarhus;2013 2013;580489
1DC First decil;756 Ikast-Brande;2013 2013;87918
2DC Second decil;756 Ikast-Brande;2013 2013;148967
3DC Third decil;756 Ikast-Brande;2013 2013;168528
4DC Fourth decil;756 Ikast-Brande;2013 2013;188392
5DC Fifth decil;756 Ikast-Brande;2013 2013;208676
6DC Sixth decil;756 Ikast-Brande;2013 2013;228580
7DC Seventh decil;756 Ikast-Brande;2013 2013;250368
8DC Eigth decil;756 Ikast-Brande;2013 2013;275847
9DC Ninth decil;756 Ikast-Brande;2013 2013;313250
10DC Tenth decil;756 Ikast-Brande;2013 2013;505281
1DC First decil;760 Ringkøbing-Skjern;2013 2013;86246
2DC Second decil;760 Ringkøbing-Skjern;2013 2013;149627
3DC Third decil;760 Ringkøbing-Skjern;2013 2013;169286
4DC Fourth decil;760 Ringkøbing-Skjern;2013 2013;189474
5DC Fifth decil;760 Ringkøbing-Skjern;2013 2013;208546
6DC Sixth decil;760 Ringkøbing-Skjern;2013 2013;227603
7DC Seventh decil;760 Ringkøbing-Skjern;2013 2013;248068
8DC Eigth decil;760 Ringkøbing-Skjern;2013 2013;273682
9DC Ninth decil;760 Ringkøbing-Skjern;2013 2013;314005
10DC Tenth decil;760 Ringkøbing-Skjern;2013 2013;526613
1DC First decil;766 Hedensted;2013 2013;101325
2DC Second decil;766 Hedensted;2013 2013;155780
3DC Third decil;766 Hedensted;2013 2013;176619
4DC Fourth decil;766 Hedensted;2013 2013;198225
5DC Fifth decil;766 Hedensted;2013 2013;217491
6DC Sixth decil;766 Hedensted;2013 2013;237243
7DC Seventh decil;766 Hedensted;2013 2013;258274
8DC Eigth decil;766 Hedensted;2013 2013;284351
9DC Ninth decil;766 Hedensted;2013 2013;323496
10DC Tenth decil;766 Hedensted;2013 2013;501817
1DC First decil;773 Morsø;2013 2013;74493
