OMRÅDE;ALDER;KØN;TID;INDHOLD
573 Varde;TOT Age, total;TOT Total;2015M10 2015M10;2.7
575 Vejen;TOT Age, total;TOT Total;2015M10 2015M10;3.2
580 Aabenraa;TOT Age, total;TOT Total;2015M10 2015M10;4.4
607 Fredericia;TOT Age, total;TOT Total;2015M10 2015M10;4.7
615 Horsens;TOT Age, total;TOT Total;2015M10 2015M10;3.9
621 Kolding;TOT Age, total;TOT Total;2015M10 2015M10;3.8
630 Vejle;TOT Age, total;TOT Total;2015M10 2015M10;3.5
657 Herning;TOT Age, total;TOT Total;2015M10 2015M10;3.6
661 Holstebro;TOT Age, total;TOT Total;2015M10 2015M10;3.1
665 Lemvig;TOT Age, total;TOT Total;2015M10 2015M10;2.6
671 Struer;TOT Age, total;TOT Total;2015M10 2015M10;3.6
706 Syddjurs;TOT Age, total;TOT Total;2015M10 2015M10;3.2
707 Norddjurs;TOT Age, total;TOT Total;2015M10 2015M10;3.6
710 Favrskov;TOT Age, total;TOT Total;2015M10 2015M10;2.8
727 Odder;TOT Age, total;TOT Total;2015M10 2015M10;2.8
730 Randers;TOT Age, total;TOT Total;2015M10 2015M10;4.3
740 Silkeborg;TOT Age, total;TOT Total;2015M10 2015M10;3.8
741 Samsø;TOT Age, total;TOT Total;2015M10 2015M10;4.1
746 Skanderborg;TOT Age, total;TOT Total;2015M10 2015M10;2.5
751 Aarhus;TOT Age, total;TOT Total;2015M10 2015M10;4.4
756 Ikast-Brande;TOT Age, total;TOT Total;2015M10 2015M10;3.8
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2015M10 2015M10;2.8
766 Hedensted;TOT Age, total;TOT Total;2015M10 2015M10;2.8
773 Morsø;TOT Age, total;TOT Total;2015M10 2015M10;3.4
779 Skive;TOT Age, total;TOT Total;2015M10 2015M10;2.9
787 Thisted;TOT Age, total;TOT Total;2015M10 2015M10;3.2
791 Viborg;TOT Age, total;TOT Total;2015M10 2015M10;3.4
810 Brønderslev;TOT Age, total;TOT Total;2015M10 2015M10;4.1
813 Frederikshavn;TOT Age, total;TOT Total;2015M10 2015M10;4.7
820 Vesthimmerlands;TOT Age, total;TOT Total;2015M10 2015M10;4.4
825 Læsø;TOT Age, total;TOT Total;2015M10 2015M10;5.3
840 Rebild;TOT Age, total;TOT Total;2015M10 2015M10;3.1
846 Mariagerfjord;TOT Age, total;TOT Total;2015M10 2015M10;3.9
849 Jammerbugt;TOT Age, total;TOT Total;2015M10 2015M10;4.1
851 Aalborg;TOT Age, total;TOT Total;2015M10 2015M10;5.7
860 Hjørring;TOT Age, total;TOT Total;2015M10 2015M10;4.4
000 All Denmark;TOT Age, total;TOT Total;2019M04 2019M04;3.5
101 Copenhagen;TOT Age, total;TOT Total;2019M04 2019M04;4.1
147 Frederiksberg;TOT Age, total;TOT Total;2019M04 2019M04;3.5
151 Ballerup;TOT Age, total;TOT Total;2019M04 2019M04;3.3
153 Brøndby;TOT Age, total;TOT Total;2019M04 2019M04;5.6
155 Dragør;TOT Age, total;TOT Total;2019M04 2019M04;2.4
157 Gentofte;TOT Age, total;TOT Total;2019M04 2019M04;2.8
159 Gladsaxe;TOT Age, total;TOT Total;2019M04 2019M04;3.2
161 Glostrup;TOT Age, total;TOT Total;2019M04 2019M04;3.6
000 All Denmark;TOT Age, total;TOT Total;2008M06 2008M06;2.3
185 Tårnby;TOT Age, total;TOT Total;2017M02 2017M02;3.6
187 Vallensbæk;TOT Age, total;TOT Total;2017M02 2017M02;3.7
190 Furesø;TOT Age, total;TOT Total;2017M02 2017M02;3.3
201 Allerød;TOT Age, total;TOT Total;2017M02 2017M02;2.6
210 Fredensborg;TOT Age, total;TOT Total;2017M02 2017M02;3.7
217 Helsingør;TOT Age, total;TOT Total;2017M02 2017M02;4.7
219 Hillerød;TOT Age, total;TOT Total;2017M02 2017M02;3.4
223 Hørsholm;TOT Age, total;TOT Total;2017M02 2017M02;2.7
230 Rudersdal;TOT Age, total;TOT Total;2017M02 2017M02;3.2
240 Egedal;TOT Age, total;TOT Total;2017M02 2017M02;3.3
250 Frederikssund;TOT Age, total;TOT Total;2017M02 2017M02;4.0
253 Greve;TOT Age, total;TOT Total;2017M02 2017M02;3.6
259 Køge;TOT Age, total;TOT Total;2017M02 2017M02;4.1
260 Halsnæs;TOT Age, total;TOT Total;2017M02 2017M02;4.7
265 Roskilde;TOT Age, total;TOT Total;2017M02 2017M02;3.8
269 Solrød;TOT Age, total;TOT Total;2017M02 2017M02;2.8
270 Gribskov;TOT Age, total;TOT Total;2017M02 2017M02;4.0
306 Odsherred;TOT Age, total;TOT Total;2017M02 2017M02;6.4
316 Holbæk;TOT Age, total;TOT Total;2017M02 2017M02;4.0
320 Faxe;TOT Age, total;TOT Total;2017M02 2017M02;4.9
326 Kalundborg;TOT Age, total;TOT Total;2017M02 2017M02;5.0
329 Ringsted;TOT Age, total;TOT Total;2017M02 2017M02;4.4
101 Copenhagen;TOT Age, total;TOT Total;2008M06 2008M06;4.3
147 Frederiksberg;TOT Age, total;TOT Total;2008M06 2008M06;2.9
151 Ballerup;TOT Age, total;TOT Total;2008M06 2008M06;1.8
153 Brøndby;TOT Age, total;TOT Total;2008M06 2008M06;2.4
155 Dragør;TOT Age, total;TOT Total;2008M06 2008M06;1.6
157 Gentofte;TOT Age, total;TOT Total;2008M06 2008M06;1.7
159 Gladsaxe;TOT Age, total;TOT Total;2008M06 2008M06;2.2
000 All Denmark;TOT Age, total;TOT Total;2012M12 2012M12;6.3
330 Slagelse;TOT Age, total;TOT Total;2017M02 2017M02;5.1
336 Stevns;TOT Age, total;TOT Total;2017M02 2017M02;3.8
340 Sorø;TOT Age, total;TOT Total;2017M02 2017M02;4.1
350 Lejre;TOT Age, total;TOT Total;2017M02 2017M02;3.5
360 Lolland;TOT Age, total;TOT Total;2017M02 2017M02;7.2
370 Næstved;TOT Age, total;TOT Total;2017M02 2017M02;5.4
376 Guldborgsund;TOT Age, total;TOT Total;2017M02 2017M02;5.5
390 Vordingborg;TOT Age, total;TOT Total;2017M02 2017M02;5.4
400 Bornholm;TOT Age, total;TOT Total;2017M02 2017M02;6.3
410 Middelfart;TOT Age, total;TOT Total;2017M02 2017M02;3.7
420 Assens;TOT Age, total;TOT Total;2017M02 2017M02;5.1
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2017M02 2017M02;5.2
440 Kerteminde;TOT Age, total;TOT Total;2017M02 2017M02;5.3
450 Nyborg;TOT Age, total;TOT Total;2017M02 2017M02;5.1
461 Odense;TOT Age, total;TOT Total;2017M02 2017M02;6.4
479 Svendborg;TOT Age, total;TOT Total;2017M02 2017M02;5.4
480 Nordfyns;TOT Age, total;TOT Total;2017M02 2017M02;5.9
482 Langeland;TOT Age, total;TOT Total;2017M02 2017M02;6.7
492 Ærø;TOT Age, total;TOT Total;2017M02 2017M02;5.6
510 Haderslev;TOT Age, total;TOT Total;2017M02 2017M02;4.6
530 Billund;TOT Age, total;TOT Total;2017M02 2017M02;3.7
540 Sønderborg;TOT Age, total;TOT Total;2017M02 2017M02;4.7
550 Tønder;TOT Age, total;TOT Total;2017M02 2017M02;4.7
000 All Denmark;TOT Age, total;TOT Total;2019M07 2019M07;3.5
101 Copenhagen;TOT Age, total;TOT Total;2019M07 2019M07;4.5
671 Struer;TOT Age, total;TOT Total;2008M09 2008M09;2.1
706 Syddjurs;TOT Age, total;TOT Total;2008M09 2008M09;2.3
000 All Denmark;TOT Age, total;TOT Total;2015M08 2015M08;4.3
707 Norddjurs;TOT Age, total;TOT Total;2008M09 2008M09;2.5
710 Favrskov;TOT Age, total;TOT Total;2008M09 2008M09;1.6
727 Odder;TOT Age, total;TOT Total;2008M09 2008M09;1.7
730 Randers;TOT Age, total;TOT Total;2008M09 2008M09;1.9
740 Silkeborg;TOT Age, total;TOT Total;2008M09 2008M09;1.5
741 Samsø;TOT Age, total;TOT Total;2008M09 2008M09;2.9
746 Skanderborg;TOT Age, total;TOT Total;2008M09 2008M09;1.3
751 Aarhus;TOT Age, total;TOT Total;2008M09 2008M09;2.5
756 Ikast-Brande;TOT Age, total;TOT Total;2008M09 2008M09;2.1
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2008M09 2008M09;1.2
766 Hedensted;TOT Age, total;TOT Total;2008M09 2008M09;0.9
773 Morsø;TOT Age, total;TOT Total;2008M09 2008M09;2.8
779 Skive;TOT Age, total;TOT Total;2008M09 2008M09;2.0
787 Thisted;TOT Age, total;TOT Total;2008M09 2008M09;1.7
791 Viborg;TOT Age, total;TOT Total;2008M09 2008M09;1.4
810 Brønderslev;TOT Age, total;TOT Total;2008M09 2008M09;2.9
813 Frederikshavn;TOT Age, total;TOT Total;2008M09 2008M09;3.3
820 Vesthimmerlands;TOT Age, total;TOT Total;2008M09 2008M09;2.0
825 Læsø;TOT Age, total;TOT Total;2008M09 2008M09;3.3
840 Rebild;TOT Age, total;TOT Total;2008M09 2008M09;1.7
846 Mariagerfjord;TOT Age, total;TOT Total;2008M09 2008M09;2.3
849 Jammerbugt;TOT Age, total;TOT Total;2008M09 2008M09;2.6
000 All Denmark;TOT Age, total;TOT Total;2010M08 2010M08;5.6
101 Copenhagen;TOT Age, total;TOT Total;2015M08 2015M08;5.5
147 Frederiksberg;TOT Age, total;TOT Total;2015M08 2015M08;4.9
151 Ballerup;TOT Age, total;TOT Total;2015M08 2015M08;4.2
153 Brøndby;TOT Age, total;TOT Total;2015M08 2015M08;5.7
155 Dragør;TOT Age, total;TOT Total;2015M08 2015M08;2.7
157 Gentofte;TOT Age, total;TOT Total;2015M08 2015M08;3.1
