KOMMUNEDK;INDKN;TID;INDHOLD
167 Hvidovre;60 60 per cent of median income;2004 2004;10.1
173 Lyngby-Taarbæk;60 60 per cent of median income;2004 2004;8.7
183 Ishøj;60 60 per cent of median income;2004 2004;13.0
187 Vallensbæk;60 60 per cent of median income;2004 2004;3.9
201 Allerød;60 60 per cent of median income;2004 2004;3.7
217 Helsingør;60 60 per cent of median income;2004 2004;8.5
223 Hørsholm;60 60 per cent of median income;2004 2004;4.8
240 Egedal;60 60 per cent of median income;2004 2004;3.6
253 Greve;60 60 per cent of median income;2004 2004;5.7
260 Halsnæs;60 60 per cent of median income;2004 2004;7.1
269 Solrød;60 60 per cent of median income;2004 2004;4.2
306 Odsherred;60 60 per cent of median income;2004 2004;8.7
320 Faxe;60 60 per cent of median income;2004 2004;8.2
329 Ringsted;60 60 per cent of median income;2004 2004;8.4
336 Stevns;60 60 per cent of median income;2004 2004;6.6
350 Lejre;60 60 per cent of median income;2004 2004;4.5
370 Næstved;60 60 per cent of median income;2004 2004;8.9
390 Vordingborg;60 60 per cent of median income;2004 2004;9.9
410 Middelfart;60 60 per cent of median income;2004 2004;6.6
430 Faaborg-Midtfyn;60 60 per cent of median income;2004 2004;8.4
450 Nyborg;60 60 per cent of median income;2004 2004;8.9
479 Svendborg;60 60 per cent of median income;2004 2004;11.6
482 Langeland;60 60 per cent of median income;2004 2004;12.5
510 Haderslev;60 60 per cent of median income;2004 2004;9.7
540 Sønderborg;60 60 per cent of median income;2004 2004;9.2
561 Esbjerg;60 60 per cent of median income;2004 2004;10.0
573 Varde;60 60 per cent of median income;2004 2004;8.4
580 Aabenraa;60 60 per cent of median income;2004 2004;9.4
615 Horsens;60 60 per cent of median income;2004 2004;9.7
630 Vejle;60 60 per cent of median income;2004 2004;8.5
661 Holstebro;60 60 per cent of median income;2004 2004;9.8
671 Struer;60 60 per cent of median income;2004 2004;8.9
707 Norddjurs;60 60 per cent of median income;2004 2004;11.0
727 Odder;60 60 per cent of median income;2004 2004;6.5
740 Silkeborg;60 60 per cent of median income;2004 2004;8.0
746 Skanderborg;60 60 per cent of median income;2004 2004;5.4
756 Ikast-Brande;60 60 per cent of median income;2004 2004;8.7
766 Hedensted;60 60 per cent of median income;2004 2004;5.9
779 Skive;60 60 per cent of median income;2004 2004;9.4
791 Viborg;60 60 per cent of median income;2004 2004;8.7
813 Frederikshavn;60 60 per cent of median income;2004 2004;8.8
825 Læsø;60 60 per cent of median income;2004 2004;10.1
846 Mariagerfjord;60 60 per cent of median income;2004 2004;9.8
851 Aalborg;60 60 per cent of median income;2004 2004;12.8
000 All Denmark;60 60 per cent of median income;2003 2003;10.0
147 Frederiksberg;60 60 per cent of median income;2003 2003;13.5
153 Brøndby;60 60 per cent of median income;2003 2003;8.5
157 Gentofte;60 60 per cent of median income;2003 2003;7.6
161 Glostrup;60 60 per cent of median income;2003 2003;7.0
165 Albertslund;60 60 per cent of median income;2003 2003;12.4
169 Høje-Taastrup;60 60 per cent of median income;2003 2003;8.1
175 Rødovre;60 60 per cent of median income;2003 2003;8.2
185 Tårnby;60 60 per cent of median income;2003 2003;5.9
190 Furesø;60 60 per cent of median income;2003 2003;5.2
210 Fredensborg;60 60 per cent of median income;2003 2003;6.0
219 Hillerød;60 60 per cent of median income;2003 2003;6.0
230 Rudersdal;60 60 per cent of median income;2003 2003;6.5
250 Frederikssund;60 60 per cent of median income;2003 2003;5.7
259 Køge;60 60 per cent of median income;2003 2003;6.2
265 Roskilde;60 60 per cent of median income;2003 2003;7.0
270 Gribskov;60 60 per cent of median income;2003 2003;5.9
316 Holbæk;60 60 per cent of median income;2003 2003;8.2
326 Kalundborg;60 60 per cent of median income;2003 2003;8.9
330 Slagelse;60 60 per cent of median income;2003 2003;10.1
340 Sorø;60 60 per cent of median income;2003 2003;7.5
360 Lolland;60 60 per cent of median income;2003 2003;12.1
376 Guldborgsund;60 60 per cent of median income;2003 2003;9.7
400 Bornholm;60 60 per cent of median income;2003 2003;10.1
420 Assens;60 60 per cent of median income;2003 2003;8.1
440 Kerteminde;60 60 per cent of median income;2003 2003;7.2
461 Odense;60 60 per cent of median income;2003 2003;14.5
480 Nordfyns;60 60 per cent of median income;2003 2003;8.2
492 Ærø;60 60 per cent of median income;2003 2003;9.9
530 Billund;60 60 per cent of median income;2003 2003;6.4
550 Tønder;60 60 per cent of median income;2003 2003;9.7
563 Fanø;60 60 per cent of median income;2003 2003;7.0
575 Vejen;60 60 per cent of median income;2003 2003;8.0
607 Fredericia;60 60 per cent of median income;2003 2003;7.4
621 Kolding;60 60 per cent of median income;2003 2003;8.8
657 Herning;60 60 per cent of median income;2003 2003;8.6
665 Lemvig;60 60 per cent of median income;2003 2003;9.8
706 Syddjurs;60 60 per cent of median income;2003 2003;7.2
710 Favrskov;60 60 per cent of median income;2003 2003;5.8
730 Randers;60 60 per cent of median income;2003 2003;9.0
741 Samsø;60 60 per cent of median income;2003 2003;11.0
751 Aarhus;60 60 per cent of median income;2003 2003;15.6
760 Ringkøbing-Skjern;60 60 per cent of median income;2003 2003;8.0
773 Morsø;60 60 per cent of median income;2003 2003;10.0
787 Thisted;60 60 per cent of median income;2003 2003;10.6
