OMRÅDE;KØN;TID;INDHOLD
185 Tårnby;TOT Total;2011:2015 2011:2015;79.7
187 Vallensbæk;TOT Total;2011:2015 2011:2015;80.9
190 Furesø;TOT Total;2011:2015 2011:2015;82.1
201 Allerød;TOT Total;2011:2015 2011:2015;82.2
210 Fredensborg;TOT Total;2011:2015 2011:2015;81.4
217 Helsingør;TOT Total;2011:2015 2011:2015;80.1
219 Hillerød;TOT Total;2011:2015 2011:2015;81.0
223 Hørsholm;TOT Total;2011:2015 2011:2015;81.9
230 Rudersdal;TOT Total;2011:2015 2011:2015;82.4
240 Egedal;TOT Total;2011:2015 2011:2015;81.7
250 Frederikssund;TOT Total;2011:2015 2011:2015;79.5
253 Greve;TOT Total;2011:2015 2011:2015;80.3
259 Køge;TOT Total;2011:2015 2011:2015;80.2
260 Halsnæs;TOT Total;2011:2015 2011:2015;78.8
265 Roskilde;TOT Total;2011:2015 2011:2015;80.7
269 Solrød;TOT Total;2011:2015 2011:2015;80.7
270 Gribskov;TOT Total;2011:2015 2011:2015;80.3
306 Odsherred;TOT Total;2011:2015 2011:2015;78.9
316 Holbæk;TOT Total;2011:2015 2011:2015;79.9
320 Faxe;TOT Total;2011:2015 2011:2015;79.6
326 Kalundborg;TOT Total;2011:2015 2011:2015;79.0
329 Ringsted;TOT Total;2011:2015 2011:2015;79.9
330 Slagelse;TOT Total;2011:2015 2011:2015;78.6
336 Stevns;TOT Total;2011:2015 2011:2015;80.2
340 Sorø;TOT Total;2011:2015 2011:2015;78.9
350 Lejre;TOT Total;2011:2015 2011:2015;81.0
360 Lolland;TOT Total;2011:2015 2011:2015;77.0
370 Næstved;TOT Total;2011:2015 2011:2015;79.6
376 Guldborgsund;TOT Total;2011:2015 2011:2015;78.1
390 Vordingborg;TOT Total;2011:2015 2011:2015;78.4
400 Bornholm;TOT Total;2011:2015 2011:2015;79.4
410 Middelfart;TOT Total;2011:2015 2011:2015;80.8
420 Assens;TOT Total;2011:2015 2011:2015;80.4
430 Faaborg-Midtfyn;TOT Total;2011:2015 2011:2015;80.5
440 Kerteminde;TOT Total;2011:2015 2011:2015;80.5
450 Nyborg;TOT Total;2011:2015 2011:2015;80.4
461 Odense;TOT Total;2011:2015 2011:2015;79.7
479 Svendborg;TOT Total;2011:2015 2011:2015;80.7
480 Nordfyns;TOT Total;2011:2015 2011:2015;79.6
482 Langeland;TOT Total;2011:2015 2011:2015;79.2
492 Ærø;TOT Total;2011:2015 2011:2015;..
510 Haderslev;TOT Total;2011:2015 2011:2015;80.3
530 Billund;TOT Total;2011:2015 2011:2015;80.8
540 Sønderborg;TOT Total;2011:2015 2011:2015;80.4
550 Tønder;TOT Total;2011:2015 2011:2015;80.4
561 Esbjerg;TOT Total;2011:2015 2011:2015;79.6
563 Fanø;TOT Total;2011:2015 2011:2015;..
573 Varde;TOT Total;2011:2015 2011:2015;81.3
575 Vejen;TOT Total;2011:2015 2011:2015;80.5
580 Aabenraa;TOT Total;2011:2015 2011:2015;80.1
607 Fredericia;TOT Total;2011:2015 2011:2015;79.5
615 Horsens;TOT Total;2011:2015 2011:2015;80.3
621 Kolding;TOT Total;2011:2015 2011:2015;80.4
630 Vejle;TOT Total;2011:2015 2011:2015;80.6
657 Herning;TOT Total;2011:2015 2011:2015;81.0
661 Holstebro;TOT Total;2011:2015 2011:2015;80.8
665 Lemvig;TOT Total;2011:2015 2011:2015;80.0
671 Struer;TOT Total;2011:2015 2011:2015;80.1
706 Syddjurs;TOT Total;2011:2015 2011:2015;81.2
707 Norddjurs;TOT Total;2011:2015 2011:2015;79.2
710 Favrskov;TOT Total;2011:2015 2011:2015;81.5
727 Odder;TOT Total;2011:2015 2011:2015;81.0
730 Randers;TOT Total;2011:2015 2011:2015;79.7
740 Silkeborg;TOT Total;2011:2015 2011:2015;80.8
741 Samsø;TOT Total;2011:2015 2011:2015;..
746 Skanderborg;TOT Total;2011:2015 2011:2015;81.7
751 Aarhus;TOT Total;2011:2015 2011:2015;80.8
756 Ikast-Brande;TOT Total;2011:2015 2011:2015;80.5
760 Ringkøbing-Skjern;TOT Total;2011:2015 2011:2015;81.0
766 Hedensted;TOT Total;2011:2015 2011:2015;81.0
773 Morsø;TOT Total;2011:2015 2011:2015;79.3
779 Skive;TOT Total;2011:2015 2011:2015;80.3
787 Thisted;TOT Total;2011:2015 2011:2015;79.4
791 Viborg;TOT Total;2011:2015 2011:2015;80.9
810 Brønderslev;TOT Total;2011:2015 2011:2015;80.0
813 Frederikshavn;TOT Total;2011:2015 2011:2015;79.7
820 Vesthimmerlands;TOT Total;2011:2015 2011:2015;80.5
825 Læsø;TOT Total;2011:2015 2011:2015;..
840 Rebild;TOT Total;2011:2015 2011:2015;80.9
846 Mariagerfjord;TOT Total;2011:2015 2011:2015;80.2
849 Jammerbugt;TOT Total;2011:2015 2011:2015;80.1
851 Aalborg;TOT Total;2011:2015 2011:2015;80.2
860 Hjørring;TOT Total;2011:2015 2011:2015;80.7
000 All Denmark;TOT Total;2011:2015 2011:2015;80.1
101 Copenhagen;TOT Total;2011:2015 2011:2015;78.0
147 Frederiksberg;TOT Total;2011:2015 2011:2015;80.1
151 Ballerup;TOT Total;2011:2015 2011:2015;79.7
153 Brøndby;TOT Total;2011:2015 2011:2015;79.1
155 Dragør;TOT Total;2011:2015 2011:2015;81.3
157 Gentofte;TOT Total;2011:2015 2011:2015;82.3
159 Gladsaxe;TOT Total;2011:2015 2011:2015;79.5
161 Glostrup;TOT Total;2011:2015 2011:2015;80.0
163 Herlev;TOT Total;2011:2015 2011:2015;79.3
165 Albertslund;TOT Total;2011:2015 2011:2015;80.3
167 Hvidovre;TOT Total;2011:2015 2011:2015;79.8
169 Høje-Taastrup;TOT Total;2011:2015 2011:2015;79.5
173 Lyngby-Taarbæk;TOT Total;2011:2015 2011:2015;82.3
175 Rødovre;TOT Total;2011:2015 2011:2015;79.6
000 All Denmark;TOT Total;2019:2023 2019:2023;81.4
101 Copenhagen;TOT Total;2019:2023 2019:2023;80.4
147 Frederiksberg;TOT Total;2019:2023 2019:2023;82.3
151 Ballerup;TOT Total;2019:2023 2019:2023;80.6
153 Brøndby;TOT Total;2019:2023 2019:2023;80.0
155 Dragør;TOT Total;2019:2023 2019:2023;82.5
157 Gentofte;TOT Total;2019:2023 2019:2023;83.7
159 Gladsaxe;TOT Total;2019:2023 2019:2023;81.3
161 Glostrup;TOT Total;2019:2023 2019:2023;81.1
163 Herlev;TOT Total;2019:2023 2019:2023;80.1
165 Albertslund;TOT Total;2019:2023 2019:2023;81.4
167 Hvidovre;TOT Total;2019:2023 2019:2023;80.7
